AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/15,30,26,22,22,19,18,89,67,44,1015,1013,1010,23,11,4,39,18,48,0,3,Rain,35
1/2/15,26,23,21,22,21,18,100,85,68,1020,1017,1015,23,10,8,35,23,48,0,6,Rain,175
1/3/15,31,27,23,22,21,18,94,71,41,1020,1017,1015,31,12,10,48,19,61,0,2,,35
1/4/15,33,27,22,21,20,18,88,68,39,1019,1015,1011,31,13,10,53,26,69,0,3,,51
1/5/15,25,23,21,21,19,17,94,78,56,1020,1019,1017,26,11,10,35,26,,0,6,,165
1/6/15,28,24,21,21,20,17,94,77,42,1021,1020,1018,31,12,10,24,16,,0,4,,144
1/7/15,31,27,22,21,18,12,94,61,22,1021,1018,1016,31,13,10,42,14,,0,3,,50
1/8/15,31,26,21,19,17,14,73,58,32,1018,1013,1009,31,16,10,52,23,71,0,2,,25
1/9/15,32,27,22,21,19,18,83,64,36,1011,1009,1006,26,16,10,42,21,58,0.25,1,Rain-Thunderstorm,40
1/10/15,28,24,21,22,21,19,100,80,51,1014,1010,1007,31,11,5,47,16,63,5.08,6,Rain-Thunderstorm,120
1/11/15,22,21,20,21,20,19,94,92,84,1014,1012,1010,26,10,6,34,26,48,3.05,6,Rain,174
1/12/15,23,21,20,20,19,17,94,82,69,1015,1013,1012,26,11,8,40,32,61,1.02,6,Rain,184
1/13/15,27,23,19,21,19,18,100,80,54,1012,1007,1001,26,11,4,40,21,60,0.25,6,Rain,21
1/14/15,34,28,23,23,17,13,94,54,19,1001,998,996,31,14,10,45,23,53,0.25,4,Rain,300
1/15/15,26,23,22,19,16,13,73,56,40,1007,1004,1000,31,13,10,32,23,,0,2,,178
1/16/15,28,24,21,19,18,17,88,64,41,1009,1006,1004,31,14,10,27,14,,0,4,,98
1/17/15,35,28,21,21,12,5,88,40,9,1010,1007,1005,31,19,10,34,16,50,0,1,,295
1/18/15,27,24,21,21,18,17,88,70,49,1013,1011,1009,26,11,10,29,24,,0,4,,163
1/19/15,23,21,20,18,15,12,83,65,45,1017,1014,1012,26,11,8,35,27,,0,6,Rain,159
1/20/15,26,22,18,19,17,14,94,72,40,1016,1013,1009,26,11,5,37,18,,0,5,Rain,49
1/21/15,28,23,19,21,19,17,94,70,41,1014,1011,1009,26,11,4,35,19,37,0.25,3,Rain-Thunderstorm,71
1/22/15,28,26,22,21,19,17,88,66,43,1014,1012,1010,26,12,10,35,16,,0,2,,47
1/23/15,31,27,23,21,20,19,83,66,41,1011,1008,1005,31,13,10,47,21,55,0,3,,27
1/24/15,31,27,23,22,19,16,89,62,30,1008,1006,1003,31,14,10,39,26,,0,2,Rain-Thunderstorm,31
